0,1,2,3,4
0.5,0.25,0.625,0.220338983,0.257518221
0.333333333,0.25,0.625,0.220338983,0.257518221
0.333333333,0.25,0.625,0.203389831,0.236997679
0.416666667,0.25,0.625,0.203389831,0.236997679
0.416666667,0.25,0.625,0.203389831,0.236997679
0.583333333,0.25,0.625,0.237288136,0.278030073
0.583333333,0.25,0.625,0.237288136,0.278030073
0.666666667,0.25,0.625,0.254237288,0.298533236
0.666666667,0.25,0.625,0.220338983,0.257518221
0.5,0.75,0.625,0.322033898,0.381241057
0.5,0.75,0.625,0.355932203,0.422186556
0.333333333,0.75,0.625,0.305084746,0.360755274
0.333333333,0.75,0.625,0.288135593,0.340260801
0.416666667,0.75,0.625,0.305084746,0.360755274
0.416666667,0.75,0.625,0.271186441,0.319757638
0.583333333,0.75,0.625,0.355932203,0.422186556
0.583333333,0.75,0.625,0.355932203,0.422186556
0.666666667,0.75,0.625,0.355932203,0.422186556
0.666666667,0.75,0.625,0.338983051,0.401718151
0.5,1,0.625,0.322033898,0.381241057
0.5,1,0.625,0.338983051,0.401718151
0.333333333,1,0.625,0.271186441,0.319757638
0.333333333,1,0.625,0.271186441,0.319757638
0.416666667,1,0.625,0.288135593,0.340260801
0.416666667,1,0.625,0.254237288,0.299245785
0.583333333,1,0.625,0.305084746,0.360755274
0.583333333,1,0.625,0.305084746,0.360755274
0.666666667,1,0.625,0.355932203,0.422186556
0.666666667,1,0.625,0.355932203,0.422186556
0.5,0.5,0.75,0.220338983,0.296935893
0.5,0.5,0.75,0.220338983,0.296935893
0.333333333,0.5,0.75,0.169491525,0.232338996
0.333333333,0.5,0.75,0.186440678,0.253880409
0.416666667,0.5,0.75,0.186440678,0.253880409
0.416666667,0.5,0.75,0.186440678,0.253880409
0.583333333,0.5,0.75,0.220338983,0.296935893
0.583333333,0.5,0.75,0.237288136,0.318449963
0.666666667,0.5,0.75,0.508474576,0.661435559
0.666666667,0.5,0.75,0.474576271,0.618689958
0.5,0,0.75,0.355932203,0.468793259
0.5,0,0.75,0.338983051,0.447342988
0.333333333,0,0.75,0.271186441,0.361450761
0.333333333,0,0.75,0.288135593,0.382937489
0.416666667,0,0.75,0.322033898,0.425883602
0.416666667,0,0.75,0.322033898,0.425883602
0.583333333,0,0.75,0.372881356,0.490234415
0.583333333,0,0.75,0.338983051,0.447342988
0.666666667,0,0.75,0.389830508,0.511666458
0.666666667,0,0.75,0.423728814,0.554503201
0.5,0.25,0.75,0.406779661,0.533089387
0.5,0.25,0.75,0.372881356,0.490234415
0.333333333,0.25,0.75,0.305084746,0.404415103
0.333333333,0.25,0.75,0.322033898,0.425883602
0.416666667,0.25,0.75,0.338983051,0.447342988
0.416666667,0.25,0.75,0.355932203,0.468793259
0.583333333,0.25,0.75,0.423728814,0.554503201
0.583333333,0.25,0.75,0.406779661,0.533089387
0.666666667,0.25,0.75,0.440677966,0.575907901
0.666666667,0.25,0.75,0.440677966,0.575907901
0.5,0.75,0.75,0.423728814,0.554503201
0.5,0.75,0.75,0.423728814,0.554503201
0.333333333,0.75,0.75,0.372881356,0.490234415
0.333333333,0.75,0.75,0.372881356,0.490234415
0.416666667,0.75,0.75,0.389830508,0.511666458
0.416666667,0.75,0.75,0.372881356,0.490234415
0.583333333,0.75,0.75,0.457627119,0.597303487
0.583333333,0.75,0.75,0.474576271,0.618689958
0.666666667,0.75,0.75,0.491525424,0.640067316
0.666666667,0.75,0.75,0.525423729,0.682794688
0.5,1,0.75,0.491525424,0.640067316
0.5,1,0.75,0.474576271,0.618689958
0.333333333,1,0.75,0.389830508,0.511666458
0.333333333,1,0.75,0.406779661,0.533089387
0.416666667,1,0.75,0.423728814,0.554503201
0.416666667,1,0.75,0.440677966,0.575907901
0.583333333,1,0.75,0.508474576,0.661435559
0.583333333,1,0.75,0.508474576,0.661435559
0.666666667,1,0.75,0.542372881,0.704144703
0.666666667,1,0.75,0.559322034,0.725485603
0,0,0,0.237288136,0.077801732
0.166666667,0,0,0.322033898,0.155438722
0.333333333,0,0,0.423728814,0.248385759
0.416666667,0,0,0.440677966,0.26385388
0.5,0,0,0.508474576,0.325660498
0.583333333,0,0,0.525423729,0.341095686
0.666666667,0,0,0.576271186,0.387361734
0.833333333,0,0,0.610169492,0.418172834
1,0,0,0.661016949,0.464340085
0,0,0.25,0.152542373,0.069568886
0,0,0.375,0.118644068,0.069540405
0,0,0.5,0.06779661,0.038143691
0,0,0.625,0.06779661,0.072520516
0,0,0.75,0.050847458,0.081293907
0,0,1,0.016949153,0.089502004
0,0.25,0,0.152542373,8.28697E-08
0,0.25,0.25,0.13559322,0.0520153
0,0.25,0.375,0.084745763,0.032283526
0,0.25,0.5,0.050847458,0.018683869
0,0.25,0.625,0.050847458,0.051921767
0,0.25,0.75,0.033898305,0.059679581
0,0.25,1,0.016949153,0.089502004
0,0.5,0,0.203389831,0.046700832
0,0.5,0.25,0.152542373,0.069568886
0,0.5,0.375,0.118644068,0.069540405
0,0.5,0.5,0.118644068,0.096473899
0,0.5,0.625,0.101694915,0.113691944
0,0.5,0.75,0.084745763,0.124495218
0,0.5,1,2.63443E-15,0.065974426
0,0.75,0,0.271186441,0.108876287
0,0.75,0.25,0.186440678,0.104653797
0,0.75,0.375,0.186440678,0.143959761
0,0.75,0.5,0.169491525,0.154730225
0,0.75,0.625,0.152542373,0.175383915
0,0.75,0.75,0.118644068,0.167660072
0,0.75,1,0.101694915,0.206991205
0,1,0,0.305084746,0.139924497
0,1,0.25,0.220338983,0.139709025
0,1,0.375,0.203389831,0.162544934
0,1,0.5,0.169491525,0.154730225
0,1,0.625,0.13559322,0.154828614
0,1,0.75,0.13559322,0.189228828
0,1,1,0.101694915,0.206991205
0.166666667,0,0.25,0.152542373,0.069568886
0.166666667,0,0.375,0.118644068,0.069540405
0.166666667,0,0.5,0.101694915,0.077038705
0.166666667,0,0.625,0.101694915,0.113691944
0.166666667,0,0.75,0.084745763,0.124495218
0.166666667,0,1,0.050847458,0.136527422
0.166666667,0.25,0,0.423728814,0.248385759
0.166666667,0.25,0.25,0.322033898,0.244696613
0.166666667,0.25,0.375,0.288135593,0.255352794
0.166666667,0.25,0.5,0.288135593,0.290374332
0.166666667,0.25,0.625,0.237288136,0.278030073
0.166666667,0.25,0.75,0.220338983,0.296935893
0.166666667,0.25,1,0.203389831,0.347651131
0.166666667,0.5,0,0.423728814,0.248385759
0.166666667,0.5,0.25,0.372881356,0.297090228
0.166666667,0.5,0.375,0.305084746,0.273890766
0.166666667,0.5,0.5,0.305084746,0.309719225
0.166666667,0.5,0.625,0.271186441,0.319027709
0.166666667,0.5,0.75,0.254237288,0.339954919
0.166666667,0.5,1,0.203389831,0.347651131
0.166666667,0.75,0,0.457627119,0.279315414
0.166666667,0.75,0.25,0.389830508,0.314539924
0.166666667,0.75,0.375,0.372881356,0.347963986
0.166666667,0.75,0.5,0.355932203,0.367704649
0.166666667,0.75,0.625,0.322033898,0.380458991
0.166666667,0.75,0.75,0.305084746,0.404415103
0.166666667,0.75,1,0.271186441,0.441226162
0.166666667,1,0,0.525423729,0.34147111
